,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lamu,100,CN,1570933352,60,35.77,102.37,43.23,3.81
1,Umm Kaddadah,84,SD,1570933353,59,13.6,26.69,81.21,15.83
2,Victoria,75,BN,1570933354,70,5.28,115.24,86.0,3.36
3,Kaitangata,66,NZ,1570933356,73,-46.28,169.85,48.99,15.01
4,Ushuaia,75,AR,1570933357,86,-54.81,-68.31,33.8,21.92
5,Geraldton,75,CA,1570933358,94,49.72,-86.95,32.0,4.7
6,Yellowknife,75,CA,1570933359,81,62.45,-114.38,42.8,8.05
7,Iguape,0,BR,1570933361,92,-24.7,-47.56,69.51,1.74
8,Hobart,75,AU,1570933362,50,-42.88,147.33,64.99,10.29
9,Jamestown,100,AU,1570933363,15,-33.21,138.6,81.21,17.01
10,Ixtapa,90,MX,1570933364,88,20.71,-105.21,82.99,8.05
11,Hilo,90,US,1570933365,78,19.71,-155.08,78.8,9.25
12,Diffa,1,NE,1570933367,46,13.32,12.61,85.71,8.71
13,Ancud,20,CL,1570933368,80,-41.87,-73.83,41.0,12.75
14,Lavrentiya,16,RU,1570933369,74,65.58,-170.99,34.77,9.42
15,Busselton,31,AU,1570933371,38,-33.64,115.35,71.01,13.89
16,Saint-Pierre,23,FR,1570933372,87,48.95,4.24,64.4,16.11
17,Srednekolymsk,100,RU,1570933373,96,67.46,153.71,26.67,14.13
18,Marquette,75,US,1570933374,84,46.54,-87.4,34.0,10.29
19,Gizo,40,IL,1570933375,78,31.8,34.94,72.0,2.24
20,Manavalakurichi,40,IN,1570933377,88,8.13,77.3,78.8,4.7
21,Hermanus,68,ZA,1570933378,88,-34.42,19.24,60.01,4.0
22,Limbang,75,BN,1570933379,70,4.75,115.01,86.0,2.24
23,Provideniya,0,RU,1570933380,83,64.42,-173.23,30.27,3.86
24,Rikitea,48,PF,1570933382,71,-23.12,-134.97,69.51,16.87
25,Karpogory,100,RU,1570933383,91,64.0,44.44,42.51,9.95
26,Rawson,33,AR,1570933384,55,-43.3,-65.11,47.55,11.15
27,Cidreira,0,BR,1570933385,75,-30.17,-50.22,73.83,12.88
28,Ponta do Sol,100,BR,1570933387,64,-20.63,-46.0,70.41,2.47
29,Khatanga,100,RU,1570933388,85,71.98,102.47,23.97,4.38
30,Havelock,1,US,1570933389,64,34.88,-76.9,75.2,9.17
31,Ilulissat,82,GL,1570933391,63,69.22,-51.1,26.6,2.24
32,Poum,0,MK,1570933392,86,41.28,20.71,51.51,1.9
33,Margate,75,AU,1570933393,50,-43.03,147.26,64.99,10.29
34,Fremont,1,US,1570933395,48,37.55,-121.99,75.99,3.36
35,East London,45,ZA,1570933396,79,-33.02,27.91,62.13,11.01
36,Albany,90,US,1570933397,72,42.65,-73.75,59.0,10.29
37,Trofors,99,NO,1570933398,86,65.54,13.39,37.4,5.82
38,Pevek,4,RU,1570933399,70,69.7,170.27,31.89,15.47
39,Faanui,0,PF,1570933401,74,-16.48,-151.75,75.45,17.55
40,Mar del Plata,67,AR,1570933402,32,-46.43,-67.52,46.29,14.69
41,Coffs Harbour,40,AU,1570933403,63,-30.3,153.13,69.8,18.34
42,Bluff,0,AU,1570933404,15,-23.58,149.07,83.91,5.28
43,Marmora,1,CA,1570933406,83,44.48,-77.68,48.2,3.84
44,Natal,75,BR,1570933407,83,-5.81,-35.21,75.2,5.82
45,Chapais,90,CA,1570933409,93,49.78,-74.86,46.4,8.05
46,Barrow,67,AR,1570933410,78,-38.31,-60.23,46.29,6.26
47,Ribeira Grande,64,PT,1570933411,68,38.52,-28.7,59.61,12.86
48,Tuktoyaktuk,75,CA,1570933412,72,69.44,-133.03,32.0,25.28
49,Vila Velha,75,BR,1570933414,69,-3.71,-38.6,80.6,20.8
50,Fallon,1,US,1570933415,59,46.84,-105.12,34.0,8.05
51,Thompson,90,CA,1570933416,92,55.74,-97.86,30.2,11.41
52,Alofi,33,NU,1570933417,57,-19.06,-169.92,78.8,17.22
53,Saint-Philippe,90,CA,1570933419,93,45.36,-73.48,55.99,12.75
54,Sabya,25,SA,1570933420,66,17.15,42.62,87.8,6.93
55,Mataura,100,NZ,1570933421,71,-46.19,168.86,55.0,8.99
